"GRID_G0","woodland","maskWdl","cropland","maskCrp","one","maskOne"
"280701",0.23565425828383,0,0.706254965575002,1,0.0500667058432725,0
"280702",0.122035067418545,0,0.854875237767494,1,0.0197485439076449,0
"280703",0.137255324731111,0,0.842468417397974,1,0.0134925430429639,0
"280704",0.126579337295488,0,0.851685751683209,1,0.0163241396478156,0
"280705",0.210957939413673,0,0.76487851070321,1,0.0137326456316242,0
"280706",0.823781831659826,1,0.147637890018254,0,0.0279978443665922,0
"280707",0.946997029186003,1,0.00735571489224687,0,0.0456472559217504,0
"280708",0.971521441547203,1,0.00650027063205228,0,0.0219743023697133,0
"280709",0.995335088135642,1,0.000892734398994105,0,0.00377217746536396,0
"280710",0.997910413945088,1,9.61607253932579e-05,0,0.00199342532951869,0
"280711",0.970543189417033,1,0.00622922272253061,0,0.0232275878604366,0
"280712",0.988051446778232,1,0.00315645922751399,0,0.00879209399425445,0
"280713",0.991426264949462,1,0.000928142804539217,0,0.00764559224599881,0
"280714",0.987891789478042,1,0.00103677305590944,0,0.0110714374660484,0
"280715",0.989977644080934,1,0.00225868341414451,0,0.00776367250492166,0
"280716",0.998382096280219,1,0.000542020642513422,0,0.00107588307726784,0
"280717",0.985211759405676,1,0.00646412813050031,0,0.00830816917156381,0
"280718",0.961108760356059,1,0.0267431300395848,0,0.0121481096043562,0
"280719",0.725763448223966,1,0.220068496991736,0,0.0531902909690772,0
"280720",0.486544698992101,1,0.406755178486348,0,0.0942970647464021,0
"280721",0.233683116637961,0,0.677636396595819,1,0.0569871044609927,0
"280722",0.256770886916941,0,0.710686273690051,1,0.0224926386859108,0
"280723",0.304030115578584,0,0.601955269578611,1,0.081347875720072,0
"280724",0.546820039448798,1,0.394380765336567,0,0.0310187275550175,0
"280725",0.958285136377723,1,0.0351762318759254,0,0.0062277693534955,0
"280726",0.991729869296095,1,0.00310104992372578,0,0.00487017249367514,0
"280727",0.996349361337505,1,0.00091664507901082,0,0.00273399358348445,0
"280728",0.983686686917761,1,0.000402568742518898,0,0.0148844013094118,0
"280729",0.971668811512336,1,0.00025108133157214,0,0.026765389508129,0
"280730",0.912981353864637,1,0.00245104759767046,0,0.0738542488332216,0
"280731",0.913259745175941,1,0.0219274800662379,0,0.0605836149436746,0
